0.8000,1.1218,0.7252,0.1332
0.2000,0.6066,1.6782,0.2166
0.0000,1.1909,0.6890,0.5547
0.4000,0.9874,1.7306,0.7531
0.6000,0.9971,0.8706,0.5167
0.4000,0.6583,1.8104,0.8373
0.2000,1.2859,0.8250,0.8676
0.0000,1.0577,1.8906,0.5064
0.4000,1.1742,0.7404,0.2524
0.0000,0.9344,1.8072,0.8722
0.2000,0.6798,0.8831,0.6778
0.6000,1.0908,1.7566,0.2351
0.8000,0.8998,0.7913,0.1204
0.6000,0.8449,1.6707,0.2743
0.6000,1.2975,0.8973,0.4873
0.2000,1.0858,1.7846,0.4940
0.2000,0.8347,0.7855,0.3844
0.0000,0.9233,1.6191,0.0527
0.4000,1.2184,0.8234,0.8539
0.0000,1.4016,1.4953,0.9969
0.4000,0.9467,0.8079,0.4996
0.6000,0.9482,1.7110,0.9071
0.4000,0.5902,0.7965,0.4183
0.2000,1.4312,1.5772,0.4825
0.4000,1.0451,0.6770,0.2880
0.4000,0.9195,1.8628,0.8338
0.8000,0.3579,0.7724,0.8304
0.0000,0.9142,1.8282,0.1427
0.6000,0.6497,0.6766,0.9700
0.6000,0.6470,1.7587,0.3043
0.8000,1.1466,0.7544,0.0977
0.6000,0.6729,1.7090,0.4207
0.0000,1.1233,0.6686,0.5232
0.8000,0.9361,1.6184,0.4963
0.6000,1.0577,0.8112,0.5856
0.4000,0.9083,1.7508,0.5346
0.6000,1.1570,0.7524,0.2844
0.8000,1.0287,1.6586,0.9828
0.4000,1.1525,0.8390,0.2631
0.2000,0.7969,1.7282,0.5888
0.0000,1.0099,0.7975,0.1551
0.8000,0.6913,1.6843,0.7016
0.0000,0.9124,0.7867,0.9178
0.4000,0.9709,1.6906,0.8434
0.8000,1.3210,0.8066,0.0283
0.8000,1.2783,1.6043,0.6597
0.4000,1.2338,0.7810,0.7254
0.0000,0.8855,1.6859,0.8658
0.4000,1.1859,0.7607,0.8079
0.2000,1.2153,1.6875,0.9806
